"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Channel Islands","CHI","Population (Total)","SP.POP.TOTL","110399","111463","112595","113778","114992","116226","117475","118726","119971","121196","122413","123611","124728","125680","126417","126906","127190","127394","127694","128213","128988","129983","131158","132451","133804","135227","136716","138186","139528","140669","141568","142258","142822","143388","144050","144832","145709","146669","147682","148725","149799","150908","152039","153174","154298","155406","156497","157554","158565","159518","160407","161235","",
"Chile","CHL","Population (Total)","SP.POP.TOTL","7845746","8047690","8251999","8455039","8654071","8847757","9036236","9220119","9400705","9578923","9755352","9929560","10100403","10266278","10426432","10580399","10729757","10878343","11031280","11192384","11363219","11543263","11731654","11926647","12126956","12331704","12541298","12757095","12981032","13213930","13456476","13706485","13958378","14204726","14440103","14662323","14872458","15072409","15265536","15454402","15639289","15819522","15995658","16168241","16337749","16504530","16668892","16831184","16991729","17150760","17308449","17464814","",
"China","CHN","Population (Total)","SP.POP.TOTL","660330000","665770000","682335000","698355000","715185000","735400000","754550000","774510000","796025000","818315000","841105000","862030000","881940000","900350000","916395000","930685000","943455000","956165000","969005000","981235000","993885000","1008630000","1023310000","1036825000","1051040000","1066790000","1084035000","1101630000","1118650000","1135185000","1150780000","1164970000","1178440000","1191835000","1204855000","1217550000","1230075000","1241935000","1252735000","1262645000","1271850000","1280400000","1288400000","1296075000","1303720000","1311020000","1317885000","1324655000","1331260000","1337705000","1344130000","1350695000","",
"Cote d'Ivoire","CIV","Population (Total)","SP.POP.TOTL","3602075","3740503","3889859","4049675","4219739","4400054","4591238","4794399","5010962","5241914","5487594","5747633","6021405","6307936","6606395","6916167","7237015","7568872","7911804","8265549","8630174","9004637","9386245","9771533","10158033","10543628","10928719","11316361","11711125","12115806","12530078","12950995","13375363","13798862","14217430","14632391","15042149","15436470","15802248","16131332","16420173","16674987","16909801","17144325","17393994","17662417","17949061","18260044","18601342","18976588","19389954","19839750","",
"Latin America and the Caribbean (IFC classification)","CLA","Population (Total)","SP.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East and North Africa (IFC classification)","CME","Population (Total)","SP.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Population (Total)","SP.POP.TOTL","5474509","5593768","5719135","5850454","5987671","6130990","6280743","6437157","6600479","6770967","6948847","7134374","7327874","7529704","7740196","7959500","8187840","8425707","8673666","8932121","9201146","9480638","9770555","10070779","10381098","10701458","11031515","11370394","11716975","12070359","12430339","12796831","13169247","13546948","13929575","14316949","14709426","15107909","15513653","15927713","16350440","16782044","17223277","17674960","18137734","18611937","19097676","19595026","20103945","20624343","21156272","21699631","",
"Congo, Rep.","COG","Population (Total)","SP.POP.TOTL","1039958","1067589","1096468","1126573","1157905","1190424","1224187","1259394","1296306","1335090","1375876","1418556","1462767","1508000","1553903","1600295","1647320","1695348","1744922","1796412","1849970","1905411","1962375","2020333","2078914","2138090","2198025","2258785","2320488","2383283","2447020","2511819","2578424","2647817","2720633","2797572","2878333","2961357","3044444","3126204","3205636","3283719","3363418","3448868","3542867","3646653","3758858","3876475","3995146","4111715","4225359","4337051","",
"Colombia","COL","Population (Total)","SP.POP.TOTL","16488996","16986307","17497712","18022435","18559236","19108959","19669838","20234946","20795270","21344781","21880185","22404289","22924755","23452703","23996249","24557647","25134640","25725336","26326236","26934591","27550172","28173493","28803276","29438030","30076525","30718127","31362479","32009024","32657292","33306941","33957286","34608171","35260456","35915434","36573895","37236124","37901358","38568056","39234115","39897984","40558648","41216304","41872051","42527623","43184026","43841370","44498390","45153037","45802561","46444798","47078792","47704427","",
"Comoros","COM","Population (Total)","SP.POP.TOTL","193754","197073","200505","204150","208080","212381","217054","221983","226997","232000","236885","241769","247059","253302","260863","269912","280248","291395","302678","313598","323998","333998","343708","353345","363068","372895","382771","392705","402707","412790","422969","433286","443820","454665","465895","477548","489627","502128","515028","528312","541976","556028","570491","585389","600733","616526","632736","649291","666097","683081","700216","717503","",
