Bundestagswahl 2013
Endgültig
Nr;Gebiet;gehört;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;CDU;;;;SPD;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;PIRATEN;;;;NPD;;;;Tierschutzpartei;;;;REP;;;;ÖDP;;;;FAMILIE;;;;Bündnis 21/RRP;;;;RENTNER;;;;BP;;;;PBC;;;;BüSo;;;;DIE VIOLETTEN;;;;MLPD;;;;Volksabstimmung;;;;PSG;;;;AfD;;;;BIG;;;;pro Deutschland;;;;DIE RECHTE;;;;DIE FRAUEN;;;;FREIE WÄHLER;;;;Nichtwähler;;;;PARTEI DER VERNUNFT;;;;Die PARTEI;;;;B;;;;BGD;;;;DKP;;;;NEIN!;;;;Übrige;;;;
124;Steinfurt I - Borken I;5;201091;200304;;;147449;143677;;;1602;1979;1243;1411;145847;141698;146206;142266;75853;63123;72802;59231;46459;42736;41073;34893;4075;17533;7434;22277;5484;8306;6420;9197;7458;8774;8936;10999;;;;;3246;;2778;2249;;1226;943;993;;;;568;;;123;201;;;155;113;;;;647;;;54;227;;;;358;;;;;;;;;;;16;20;;;;;;;20;16;;;152;67;;;24;20;3272;;4126;;;;40;;;;146;;;;28;;;;;;;;282;;;;130;;;;90;;;;434;;;;;;;;;;;;;;;;;;;;;190;
125;Bottrop - Recklinghausen III;5;206061;208655;;;148181;148523;;;2010;1804;1693;1596;146171;146719;146488;146927;53354;48290;51021;42153;66913;62810;58800;54532;2372;9710;5095;16171;7827;13765;9153;15624;5277;8372;7998;10267;;;;;3613;;3029;2261;;2391;2208;1738;;;;1052;;;327;643;986;1138;465;447;;;;804;;;79;182;;;;578;;;;;;;;;;;36;34;;;;;299;243;142;128;;;280;102;;;53;23;5530;;6034;;;;243;;;;547;;;;54;;;;;;;;177;;;;142;;;;110;;;;495;;;;;;;;;;;;;;;;;;;;;188;
126;Borken II;5;198648;196659;;;151387;147728;;;1401;1494;1118;1231;149986;146234;150269;146497;86028;79254;80352;67056;40643;37324;38391;32344;3389;12521;7915;24230;4513;6385;5447;7222;9548;9706;9138;10793;;;;;3016;;2468;1823;;1044;948;805;;;;599;;;103;188;;;167;94;;;;625;;;61;100;;;;344;;;;;;;;;;;17;12;;;;;;;17;17;;;182;73;;;22;13;2849;;4042;;;;22;;;;170;;;;12;;;;;;;;248;;;;117;;;;78;;;;352;;;;;;;;;;;;;;;;;;;;;159;
127;Coesfeld - Steinfurt II;5;190611;189353;;;149678;146369;;;1297;1372;1193;1100;148381;144997;148485;145269;83175;73636;74391;61901;39724;37851;38075;31790;3826;14229;8328;24041;4929;7634;6167;8504;10346;10674;12083;13607;;;;;2884;;2605;2008;;973;812;752;;;;705;;;110;213;;;188;163;461;;;703;;;64;169;;;;424;;;;;;;;;;;14;16;;;;;;;22;13;;;171;80;;;29;20;3036;;4216;;;;18;;;;243;;;;13;;;;;;;;267;;;;101;;;;96;;;;472;;;;;;;;;;;;;;;;;;;;;160;
128;Steinfurt III;5;193909;192966;;;146050;143782;;;1336;1842;1296;1371;144714;141940;144754;142411;69385;61444;62729;51067;52786;58679;48324;43523;2603;11613;6822;20001;5533;9075;6765;9250;8464;;10981;13366;;;;;2356;;2504;2047;1021;1129;940;929;;;;555;;;96;204;;;123;85;;;;686;;;50;169;;;;286;;;;;;;;;;;16;24;;;;;;;25;14;;;156;56;;;24;15;2566;;4028;;;;74;;;;115;;;;16;;;;;;;;279;;;;133;;;;89;;;;465;;;;;;;;;;;;;;;;;;;;;134;
129;Münster;5;227762;210934;;;180093;163921;;;1527;1362;1291;1190;178566;162559;178802;162731;69352;63819;67626;54902;63296;53029;48579;38604;10222;16131;12119;23951;7620;7805;11254;10970;19767;20822;27118;27985;;;;;3582;;4037;3489;;718;490;574;;;;567;;;54;175;752;;595;417;;;;416;;;52;107;;;;294;;;;;;;;;;;21;17;;;;;;;51;39;;;123;89;;;27;19;3651;;5236;;;;59;;;;139;;;;23;;;;;;;;195;;;;218;;;;113;;;;673;;;;;;;;;;;;;;;;;;324;235;;116;
130;Warendorf;5;210355;211287;;;158085;156217;;;1684;2696;1552;1809;156401;153521;156533;154408;80272;75187;73764;62706;50056;49996;45609;37608;3533;16333;8486;23668;5488;12005;6858;9824;9300;;11305;14609;;;;;3163;;3123;2308;1134;;1090;977;;;;688;;;122;302;;;178;119;;;;685;;;53;132;;;;443;;;;;;;;;;;25;14;;;;;;;23;8;;;223;112;;;29;16;3455;;4571;;;;53;;;;147;;;;4;;;;;;;;378;;;;93;;;;70;;;;329;;;;;;;;;;;;;;;;;;;;;189;
131;Gütersloh I;5;233596;232944;;;168983;168245;;;2080;2536;1840;1925;166903;165709;167143;166320;83869;74149;77361;64808;56031;53509;47962;42512;3146;15138;8236;24698;7133;9909;8332;10855;9069;11924;13148;16035;;;;;3134;;3070;2639;;;1260;1202;;;;855;;;139;361;;625;354;379;;;;824;343;;164;177;;;;546;;;;;;;;;;;21;24;;;;;;;20;25;;;222;152;;;38;24;4178;;5286;;;;111;;;;228;;;;17;;;;;;;;454;;;;171;;;;112;;;;437;;;;;;;;;;;;;;;;;;;455;;204;
132;Bielefeld - Gütersloh II;5;247179;247085;;;179625;180441;;;2476;2348;2077;2091;177149;178093;177548;178350;66021;64621;62698;54277;67464;61405;57931;53583;3523;10852;7055;19883;12153;14056;14869;17126;19026;24981;20711;25057;;;;;4564;;4189;3497;;1784;1233;1453;;;;956;;;131;311;;;280;179;;;;755;;;63;190;;;;551;;;;;;;;;;394;39;100;;;;;;;97;68;;;315;132;;;51;45;4398;;6076;;;;190;;;;336;;;;34;;;;;;;;226;;;;190;;;;93;;;;741;;;;;;;;;;;;;;;;;;;;;187;
133;Herford - Minden-Lübbecke II;5;230975;233781;;;163815;165115;;;2482;2497;1855;2079;161333;162618;161960;163036;65873;61244;63755;53025;66637;62644;56554;53661;5651;15549;6798;22018;8706;12090;9409;12887;8209;11091;12297;14121;;;;;4697;;3350;2373;;;1267;1362;;;;942;;;211;603;;;186;137;;;;856;;;76;215;;;;421;;;;;;;;;;;29;26;;;;;;;36;31;;;286;189;;;32;23;;;5832;;;;67;;;;332;;;;22;;;;;;1119;;661;;;;175;;;;109;;;;476;;;;;;;;;;;;;;;;;;441;;;146;
134;Minden-Lübbecke I;5;206505;209155;;;145637;147381;;;2113;1996;1611;1756;143524;145385;144026;145625;66385;61751;59134;51869;58186;57561;49536;47299;2738;9628;6640;18097;5943;8809;7114;10401;5923;7636;10527;11482;;;;;3756;;2893;2284;;;936;917;;;;713;;;239;771;;;151;113;;;;820;;;61;153;;;;397;;;;;;;;;;;16;22;;;;;;;30;21;;;254;98;;;31;29;;;5170;;;;39;;;;244;;;;28;;;;;;593;;358;;;;141;;;;89;;;;395;;;;;;;;;;;;;;;;;;;;;139;
135;Lippe I;5;172330;174517;;;125708;127817;;;1797;1880;1514;1522;123911;125937;124194;126295;49783;46447;48776;40545;50934;50688;43583;43628;2873;11879;5698;16627;5186;8492;6369;9059;7070;8431;9123;10270;;;;;2814;;2498;2283;;;1020;1039;;;;728;;;139;358;;;133;119;;;;779;;;56;139;;;;397;;;;;;;;;;;18;36;;;;;;;27;23;;;238;95;;;36;10;3154;;4758;;;;60;;;;266;;;;29;;;;;;868;;788;;;;105;;;;95;;;;379;;;;;;;;;;;;;;;;;;1229;;;160;
136;Höxter - Lippe II;5;213488;216917;;;155994;158321;;;2260;2673;1996;2368;153734;155648;153998;155953;76882;71813;70520;58814;48159;49149;45707;45184;2956;12086;7423;23125;6328;9100;7894;10266;8757;9957;10266;11708;;;;;2854;;2853;2474;1312;1502;1188;1151;;;;727;;;88;254;693;455;400;309;;1586;;1037;;;63;132;;;;374;;;;;;;;;;;22;21;;;;;;;22;21;;;221;125;;;29;31;4004;;5545;;;;91;;;;198;;;;19;;;;;;1086;;807;;;;113;;;;91;;;;438;;;;;;;;;;;;;;;;;;703;;;200;
137;Paderborn - Gütersloh III;5;247138;243442;;;176149;172558;;;2103;2208;2001;2107;174046;170350;174148;170451;102867;88754;89394;73354;40429;43120;40630;34925;3296;15282;8774;28805;6969;9436;9065;10380;11254;12001;12445;14619;;;;;3800;;3682;3478;1442;1757;1383;1340;;;;810;;;132;377;;;293;184;;;;1111;;;76;145;;;;467;;;;;;;;;;;31;26;;;;;;;17;24;;;257;149;;;31;28;3521;;6296;;;;119;;;;248;;;;24;;;;;;;;500;;;;187;;;;126;;;;438;;;;;;;;;;;;;;;;;;468;;;229;
138;Hagen - Ennepe-Ruhr-Kreis I;5;212903;217768;;;147183;150712;;;2595;1885;1737;1650;144588;148827;145446;149062;49329;49893;51328;45225;68044;63980;53380;49061;4978;11251;6604;18246;8181;12188;9820;14448;6521;8836;9806;13557;;;;;3931;;3262;2407;2822;2679;1611;1774;;;;1231;;;310;937;;;159;79;;;;673;514;;189;278;;;;706;;;;;;;;;;;20;36;;;;;268;;96;87;;;305;137;;;33;12;;;6374;;;;142;;;;744;;;;29;;;;;;;;373;;;;182;;;;113;;;;566;;;;;;;;;;;;;;;;;;;;;168;
139;Ennepe-Ruhr-Kreis II;5;181174;183435;;;134749;135860;;;1897;1727;1600;1430;132852;134133;133149;134430;47530;40763;44028;35927;56197;54845;50946;46848;2666;13392;5977;16778;6743;11180;8498;12596;10964;11621;12071;15248;;;;;3003;;2951;2180;1523;1762;1241;1382;;;;1103;;;152;307;;;187;116;;;;673;;;64;194;;;;559;;;;;;;;;;;19;29;;;;;233;285;156;153;;;222;126;;;37;42;3993;;5178;;;;143;;;;323;;;;44;;;;;;;;197;;;;153;;;;75;;;;487;;;;;;;;;;;;;;;;;;;285;;169;
140;Bochum I;5;210904;214358;;;154030;153800;;;2865;1853;1848;1579;151165;151947;152182;152221;53861;47030;46448;37763;66851;65810;58766;55224;2069;8578;5862;16390;10331;14741;12022;16442;10323;12775;14667;18094;;;;;4608;;3903;2943;2832;2268;1916;1796;;;;1171;;;170;360;;;237;119;;;;608;;;69;214;;;;538;;;;;;;;;;486;36;100;;;;;290;259;145;126;;;245;126;;;36;49;;;5820;;;;196;;;;374;;;;48;;;;;;;;286;;;;187;;;;71;;;;678;;;;;;;;;;;;;;;;;;;;;158;
141;Herne - Bochum II;5;184009;188777;;;126927;128511;;;2397;3036;1794;1948;124530;125475;125133;126563;37807;33693;35149;28681;60610;64331;54876;50922;1894;8545;3528;11591;9500;;10162;16261;7194;12393;8275;11074;;;;;3779;;3078;2074;3348;2570;2225;1563;;;;944;;2768;439;1418;;;156;81;;;;604;;;89;236;;;;568;;;;;;;;;;;24;20;;;;;398;1175;198;175;;;267;93;;;40;34;;;4949;;;;224;;;;463;;;;54;;;;;;;;217;;;;152;;;;88;;;;480;;;;;;;;;;;;;;;;;;;;;224;
142;Dortmund I;5;213946;214213;;;149031;149331;;;1562;1556;1546;1258;147469;147775;147485;148073;45310;40623;42712;36237;67019;60839;56180;48882;2882;12890;6107;17813;8835;14273;11653;16272;11042;16141;15827;20133;;;;;3775;;4078;3311;2139;2281;1894;1469;;;;960;;;157;231;;;172;105;;;;521;203;;136;201;;;;638;;;;;;;;;;440;27;103;;;;;254;288;154;146;;;304;128;;;32;22;5188;;6060;;;;158;;;;243;;;;125;;;;;;634;;437;;;;161;;;;137;;;;731;;;;;;;;;;;;;;;;;;188;;;901;
143;Dortmund II;5;206701;208840;;;137503;141167;;;1850;1605;1501;1412;135653;139562;136002;139755;43688;40622;39604;34006;63388;59141;55683;49813;2014;9387;5139;15993;9340;14819;10568;16104;9228;12292;11328;15553;;;;;4036;;3322;2383;2741;2379;1894;1654;;;;1000;;;160;263;;;125;70;;;;677;;;81;275;;;;931;;;;;;;;;;;21;42;;;;;;;71;101;;;297;149;;;33;25;;;5571;;;;241;;;;311;;;;50;;;;;;1218;;609;;;;129;;;;122;;;;643;;;;;;;;;;;;;;;;;;;922;;716;
144;Unna I;5;200068;202933;;;148119;148909;;;1843;1757;1504;1552;146276;147152;146615;147357;52433;47702;46794;38646;68287;62638;60019;55439;2514;9418;5850;17773;7749;12451;9127;13842;8242;12737;11567;13756;;;;;3535;;3189;2439;2174;2206;1505;1665;;;;1045;;;139;307;;;125;88;;;;727;;;83;183;;;;958;;;;;;;;;;;40;24;;;;;;;55;44;;;309;144;;;31;18;;;5525;;;;172;;;;362;;;;29;;;;;;1342;;882;;;;141;;;;114;;;;557;;;;;;;;;;;;;;;;;;;;;259;
145;Hamm - Unna II;5;238091;239907;;;167338;167422;;;2426;2324;1946;1932;164912;165098;165392;165490;64871;54088;60984;52623;71174;72446;63646;55249;3439;14952;6153;19998;9277;11638;10399;15917;8250;8993;9990;12798;;;;;3930;;3465;2889;2913;2981;2064;2113;;;;1049;;;281;536;;;123;88;;;;810;;;76;241;;;;675;;;;;;;;;;;21;26;;;;;;;66;60;;;298;120;;;33;26;;;5523;;;;236;;;;457;;;;92;;;;;;1058;;683;;;;129;;;;118;;;;555;;;;;;;;;;;;;;;;;;;;;272;
146;Soest;5;232311;232781;;;167911;165293;;;2435;2204;1765;1921;165476;163089;166146;163372;82394;74725;74380;59805;55127;47583;50439;41522;3870;15625;8218;27675;8267;11432;8721;12460;9868;11924;11565;14081;;;;;3996;;3410;2612;1954;1800;1321;1324;;;;922;;;180;388;;;204;106;;;;1037;;;86;315;;;;652;;;;;;;;;;;32;48;;;;;;;25;13;;;333;149;;;52;22;;;5711;;;;91;;;;330;;;;59;;;;;;;;229;;;;192;;;;101;;;;467;;;;;;;;;;;;;;;;;;;;;241;
147;Hochsauerlandkreis;5;205948;209440;;;151727;152242;;;2123;1927;1681;1702;149604;150315;150046;150540;83952;77687;74530;63133;44682;40010;42054;36741;2878;13753;7625;24530;6159;9362;7055;10064;6308;7966;7161;9460;;;;;3280;;2940;2008;1708;1537;1269;1223;;;;809;;;160;306;;;173;112;;;;910;;;85;206;;;;601;;;;;;;;;;;20;23;;;;;;;22;25;;;319;146;;;39;26;;;5140;;;;43;;;;278;;;;22;;;;;;637;;533;;;;131;;;;88;;;;359;;;;;;;;;;;;;;;;;;;;;217;
148;Siegen-Wittgenstein;5;215751;218411;;;156569;156878;;;1812;2271;1673;1682;154757;154607;154896;155196;70833;64217;64307;53999;56510;60500;49563;44822;3383;15482;7327;23059;6891;12009;8920;12362;7808;;9937;13385;;;;;2732;;2722;2044;1856;2399;1759;1910;;;;920;;;269;660;;;286;218;;;;755;;;55;200;;;;485;;;;;;;;;;;22;26;;;;;;;41;22;;;312;152;;;35;22;4744;;7653;;;;406;;;;312;;;;30;;;;;;;;243;;;;146;;;;101;;;;450;;;;;;;;;;;;;;;;;;;;;155;
149;Olpe - Märkischer Kreis I;5;210836;214196;;;150469;151127;;;1632;1941;1554;1733;148837;149186;148915;149394;76911;70705;71437;59358;48711;42273;42002;36470;3586;15568;7694;25021;5635;10100;7113;10797;5132;8476;7726;10379;;;;;2694;;2708;1901;1692;2064;1574;1564;;;;978;;;188;503;;;193;108;;;;879;;;84;281;;;;673;;;;;;;;;;;27;20;;;;;;;22;40;;;312;151;;;44;37;3931;;6151;;;;117;;;;275;;;;20;;;;;;545;;505;;;;134;;;;101;;;;488;;;;;;;;;;;;;;;;;;;;;234;
150;Märkischer Kreis II;5;206189;210993;;;145197;146986;;;1695;1788;1637;1661;143502;145198;143560;145325;59768;52751;59536;51494;59821;59521;46318;41755;2792;11740;6431;20616;6926;10431;8463;12450;4498;6207;7971;10589;;;;;3114;;3284;2181;1874;2331;1620;1902;;2217;;1310;;;284;555;;;145;105;;;;810;;;119;335;;;;786;;;;;;;;;;;18;25;;;;;;;47;48;;;363;169;;;31;23;4709;;7122;;;;147;;;;317;;;;27;;;;;;;;389;;;;194;;;;109;;;;625;;;;;;;;;;;;;;;;;;;;;172;
5;Nordrhein-Westfalen;99;13253554;13288291;;;9605247;9493850;;;132654;127085;107090;104438;9472593;9366765;9498157;9389412;4148811;3706284;3776563;3111478;3472520;3286593;3028282;2678956;228962;832146;498027;1394554;483918;669045;582925;789814;606235;728745;760642;945831;;;;;220636;;209507;158585;95784;112709;94291;88690;;2217;;59731;2683;2768;13848;30015;2431;2676;12978;8866;461;5269;;45106;1550;;5151;12952;;;;33821;;;;;;;;;1377;2662;1975;2396;;446;;;4599;6636;4600;4268;1748;2550;17622;9367;;;2155;1537;171511;;372258;;;;10705;;;;23243;;;;2245;;;;;;18250;;25127;;;;11349;;;;6888;;5192;;37776;;;;;;;;;;;;;;;;;;5925;6019;;13445;

167;Waldeck;6;189728;192360;;;138632;140808;;;4931;3801;4216;3513;133701;137007;134416;137295;55444;48414;49063;41109;55217;51737;48420;45343;3579;13180;6452;20210;7253;10400;7356;11657;8486;11209;10872;13498;;;;;3177;;2242;2175;;1756;1159;1393;;;;1121;;;237;504;;;;;;;;;;;;;;;;;;;;;;;;;;;47;122;;;;;;;33;48;;;;;;;71;;;;6774;;;;;;;;152;;;;;;;;;;;;1013;;;;;;;;;;;;525;;;;;;;;;;;;;;;;;;545;311;;115;
168;Kassel;6;224555;222636;;;160695;161033;;;5232;4254;4216;3903;155463;156779;156479;157130;54674;47643;48361;40134;62178;59621;53232;49114;3192;12188;6259;19820;13066;15453;13680;17656;16559;19246;19884;23320;;;;;4624;;3575;3523;;1594;1218;1275;;;;1374;;;198;470;;;;;;;;;;;;;;;;;;;;;;;;;;;51;159;;;;;325;319;165;173;;;;;;;89;;;;7977;;;;;;;;155;;;;;;;;;;;;839;;;;;;;;;;;;796;;;;;;;;;;;;;;;;;;845;715;;112;
169;Werra-Meißner - Hersfeld-Rotenburg;6;180203;184337;;;131446;135727;;;4632;3713;4193;3630;126814;132014;127253;132097;51386;45711;45872;39966;54630;53275;46913;45401;2513;12290;5014;17526;7277;11080;7584;12927;6333;7530;8868;10679;;;;;2283;;1954;1948;2392;2128;2013;1939;;;;1004;;;170;422;;;;;;;;;;;;;;;;;;;;;;;;;;;55;155;;;;;;;41;35;;;;;;;55;;;;7096;;;;;;;;136;;;;;;;;;;;;961;;;;;;;;;;;;521;;;;;;;;;;;;;;;;;;;;;95;
170;Schwalm-Eder;6;191354;194732;;;141665;144490;;;4836;4391;4684;4275;136829;140099;136981;140215;54162;47053;48747;40592;57944;56519;50052;47585;3005;13487;6362;19854;6890;11395;7442;12958;7884;9370;10498;12935;;;;;2771;;2306;2382;2019;2275;1532;1813;;;;1256;;;229;556;;;;;;;;;;;;;;;;;;;;;;;;;;;46;119;;;;;;;32;37;;;;;;;58;;;;7394;;;;;;;;162;;;;;;;;;;2154;;1592;;;;;;;;;;;;529;;;;;;;;;;;;;;;;;;;;;128;
171;Marburg;6;184686;185071;;;130945;135293;;;2943;2382;3036;2195;128002;132911;127909;133098;50683;47322;46993;41356;55982;51712;42749;38139;2229;10964;5111;17410;6746;10857;8720;13181;7595;10366;13443;16884;;;;;2581;;2206;2625;1459;1690;1034;1290;;;;1116;;;313;843;;;;;;;;;;;;;;;;;;;;;;;;;;;47;151;;;;;;;26;27;;;;;;;62;;;;5858;;;;;;;;109;;;;;;;;;;;;593;;;;;;;;;;727;;645;;;;;;;;;;;;;;;;;;;;;76;
172;Lahn-Dill;6;210867;212611;;;146943;147952;;;4108;3104;3840;2730;142835;144848;143103;145222;68666;60214;59760;50391;49213;47897;43406;40485;3033;12968;6323;21137;6603;9815;7433;12133;8647;11032;10600;13382;;;;;3265;;2533;2972;2867;2922;2253;2236;;;;1431;;;288;741;;;;;;;;;;;;;;;;;;;;;;;;;;;63;147;;;;;;;37;40;;;;;;;63;;;;8315;;;;;;;;213;;;;;;;;;;;;1250;;;;;;;;;;;;566;;;;;;;;;;;;;;;;;;541;;;127;
173;Gießen;6;215246;214882;;;156652;156108;;;4350;3598;3929;3357;152302;152510;152723;152751;67587;55987;59062;47442;54028;52287;45299;41649;4543;16804;7553;24009;7802;10623;9928;13713;11186;13484;14759;17988;;;;;3949;;3268;3795;2483;2137;1977;1706;;;;1434;;;273;644;;;;;;;;;;;;;;;;;;;;;;;;;;;93;182;;;;;;;59;43;;;;;;;84;;;;7444;;;;;;;;183;;;;;;;;;;;;1982;;;;;;;;;;;;759;;;;;;;;;;;;;;;;;;724;1188;;146;
174;Fulda;6;209960;210695;;;154025;156363;;;4429;3465;3795;3141;149596;152898;150230;153222;87263;77514;76778;63835;37352;35602;33218;29960;3605;15268;7313;27119;6869;10267;6900;11590;8125;11257;10058;13158;;;;;3390;;2715;2607;2992;2972;2190;2306;;;;1337;;;414;910;;;;;;;;;;;;;;;;;;;;;;;;;;;64;191;;;;;;;25;54;;;;;;;71;;;;8711;;;;;;;;162;;;;;;;;;;;;1033;;;;;;;;;;;;578;;;;;;;;;;;;;;;;;;;18;;155;
175;Main-Kinzig - Wetterau II - Schotten;6;180491;181422;;;131010;132713;;;4237;3530;3996;3444;126773;129183;127014;129269;61911;52895;52305;43652;41061;41711;35313;31980;2963;12321;6516;22105;6739;9127;6934;10916;6815;7982;9720;12272;;;;;3746;;2666;2627;3538;2954;2662;2553;;1690;;1635;;379;487;1203;;;;;;;;;;;;;;;;;;;;;;;;;;;72;164;;;;;;;25;25;;;;;;;74;;;;8098;;;;;;;;187;;;;;;;;;;;;1325;;;;;;;;;;;;630;;;;;;;;;;;;;;;;;;;124;;137;
176;Hochtaunus;6;182026;182246;;;139886;141075;;;2911;2300;3003;2217;136975;138775;136883;138858;66785;62748;58822;49902;38435;35257;33846;29758;4866;16255;10334;27979;5482;7522;6358;9229;10064;12976;12690;15877;;;;;2194;;2266;2552;934;1081;1024;1055;;2074;;1472;467;862;469;807;;;;;;;;;;;;;;;;;;;;;;;;;;;51;127;;;;;;;18;26;;;;;;;38;;7748;;9447;;;;;;;;134;;;;;;;;;;;;876;;;;;;;;;;;;510;;;;;;;;;;;;;;;;;;;;;74;
177;Wetterau I;6;175085;173946;;;131480;131624;;;3710;2757;3331;2617;127770;128867;128149;129007;60118;53317;52419;43285;40805;42438;34937;31677;3527;11785;7586;23124;6174;7497;6615;9336;9497;9434;11991;14730;;;;;2863;;2535;2631;2364;2360;1860;2197;;1785;;1434;;;194;365;;;;;;;;;;;;;;;;;;;;;;;;;;;110;121;;;;;;;23;30;;;;;;;57;;;;7608;;;;;;;;170;;;;;;;;;;2422;;1440;;;;;;;;;;;;604;;;;;;;;;;;;;;;;;;;251;;77;
178;Rheingau-Taunus - Limburg;6;220668;221226;;;165788;166456;;;3756;3400;3864;2837;162032;163056;161924;163619;84489;75224;73599;60875;47152;45127;40718;36352;3726;17463;10139;30530;6300;9066;7290;10853;9119;13141;13955;17210;;;;;2869;;2884;3199;1464;1432;1476;1490;;;;1665;;1603;302;1133;;;;;;;;;;;;;;;;;;;;;;;;;;;57;174;;;;;;;42;32;;;;;;;67;;6913;;9469;;;;;;;;189;;;;;;;;;;;;1126;;;;;;;;;;;;611;;;;;;;;;;;;;;;;;;;;;106;
179;Wiesbaden;6;189698;187479;;;132335;133425;;;2705;2374;2652;2221;129630;131051;129683;131204;56466;53416;50187;40831;45311;42751;36041;30892;3296;12350;8801;23194;6097;9016;7668;11333;9784;10970;15133;18560;;;;;2224;;2531;2839;941;1516;865;1070;;;;1005;;;352;1049;;;;;;;;;;;;;;;;;;;;;;;;;335;588;151;269;;;;;;;52;37;;;;;;;38;;5176;;6550;;;;;;;;124;;;;;;;;;;;;665;;;;;;;;;;;;525;;;;;;;;;;;;;;;;;;;444;;125;
180;Hanau;6;177413;175874;;;128280;128322;;;4179;2768;3786;2732;124101;125554;124494;125590;54920;48218;48828;39674;45184;43514;35650;30978;3053;10972;6611;21904;7069;8909;7630;11247;7217;8536;11183;13998;;;;;2985;;2549;2722;2625;1577;1899;1556;;2443;;1924;;1385;687;1282;;;;;;;;;;;;;;;;;;;;;;;;;;;73;158;;;;;;;28;38;;;;;;;65;;;;7356;;;;;;;;212;;;;;;;;;;;;847;;;;;;;;;;1048;;876;;;;;;;;;;;;;;;;;;;;;109;
181;Main-Taunus;6;196605;195505;;;155145;155748;;;4078;2821;3226;2322;151067;152927;151919;153426;79353;72680;66598;56989;40927;36629;34156;29515;6472;18588;13100;33225;6355;7718;6406;8699;12453;15618;15057;18258;;;;;3729;;2773;3157;1778;1694;1003;1140;;;;1437;;;285;701;;;;;;;;;;;;;;;;;;;;;;;;;;;53;165;;;;;;;35;30;;;;;;;63;;;;10470;;;;;;;;159;;;;;;;;;;;;1212;;;;;;;;;;;;549;;;;;;;;;;;;;;;;;;;;;110;
182;Frankfurt am Main I;6;195615;190058;;;133575;132429;;;3056;2217;2687;2091;130519;130212;130888;130338;52427;45866;43883;36031;43124;39147;35106;29107;4125;12876;9209;22761;10280;12031;11684;14551;12875;15701;17398;20645;;;;;3066;;3117;3355;1148;1327;949;1266;;1879;;1415;772;862;450;824;;;;;;;;;;;;;;;;;;;;;;;;;177;353;85;210;;;;;;170;56;92;;;;;;;62;;;;6983;;;;;;;;133;;;;;;;;;;1586;;904;;;;;;;;;;939;;869;;;;;;;;;;;;;;;;;;;;;81;
183;Frankfurt am Main II;6;219357;212140;;;159914;156548;;;2937;2671;2901;2150;156977;153877;157013;154398;57004;55027;53198;43089;47854;45074;41360;33243;5434;14336;10979;27031;9547;11998;12778;15397;21184;23403;24165;28225;;;;;2858;;3426;3722;1015;1546;930;1183;;2077;;1503;;;235;651;;;;;;;;;;;;;;;;;;;;;;;;;101;416;87;190;;;;;;;54;62;;;;;;;69;;5155;;7669;;;;;;;;125;;;;;;;;;;988;;932;;;;;;;;;;1155;;1006;;;;;;;;;;;;;;;;;;4682;;;102;
184;Groß-Gerau;6;174002;172278;;;127383;128119;;;4079;3099;3694;2765;123304;125020;123689;125354;52087;45410;45389;37526;46942;44973;37781;35058;2489;10177;5762;18630;7645;9449;7693;11103;9502;12072;13129;15677;;;;;4639;;2989;2772;;2457;1430;1680;;;;1463;;;509;1098;;;;;;;;;;;;;;;;;;;;;;;;;;;52;178;;;;;;;76;60;;;;;;;61;;;;6939;;;;;;;;200;;;;;;;;;;;;1036;;;;;;;;;;;;643;;;;;;;;;;;;;;;;;;;482;;109;
185;Offenbach;6;221650;221180;;;158240;158857;;;4637;3969;3990;4213;153603;154888;154250;154644;69930;62281;59905;49267;47984;44542;40203;34376;4376;15843;9836;28409;9479;11594;10205;13813;12548;15243;16503;19863;;;;;3780;;3627;3835;2538;2434;1663;1766;;2722;;1858;;;626;1068;;;;;;;;;;;;;;;;;;;;;;;;;;;49;198;;;;;;;40;41;;;;;;;75;;;;8994;;;;;;;;224;;;;;;;;;;2968;;1461;;;;;;;;;;;;839;;;;;;;;;;;;;;;;;;;229;;150;
186;Darmstadt;6;240017;233622;;;180790;176435;;;4193;3467;4090;3050;176597;172968;176700;173385;63397;60536;61677;49924;65820;60581;50416;43605;4306;13553;8945;26539;9111;11213;11866;14869;20704;20963;25149;29727;;;;;5033;3866;5508;4390;1437;1860;1354;1501;;;;1650;;;303;788;;;;;;;;;;;;;;;;;;;;;;;;;;;62;173;;;;;;;96;87;;;;;;;77;;6789;;9169;;;;;;;;154;;;;;;;;;;;;933;;;;;;;;;;;;991;;;;;;;;;;;;;;;;;;;396;;132;
187;Odenwald;6;234360;234911;;;177273;176808;;;6023;5386;5441;4959;171250;171422;171832;171849;80323;69191;70211;56677;57586;50797;48252;42756;4581;18409;8964;29697;8621;11574;9459;13403;11854;16215;15560;19379;;;;;5279;;4034;4098;3006;2183;2035;1907;;;;1765;;1772;764;1723;;;;;;;;;;;;;;;;;;;;;;;;;;;101;228;;;;;;;76;79;;;;;;;83;;;;9864;;;;;;;;289;;;;;;;;;;;;1307;;;;;;;;;;;;833;;;;;;;;;;;;;;;;;;;1281;;137;
